93	84	0.40256068	108
41	14	0.47620627	109
92	71	0.52409214	110
22	37	0.6935882	111
62	73	0.7451943	112
82	78	0.7638876	113
27	19	0.83991826	114
94	75	0.8550436	115
85	95	0.891767	116
57	49	0.9763845	117
104	79	0.98247695	118
97	96	1.0050665	119
20	18	1.0488858	120
72	83	1.0677965	121
31	38	1.1783254	122
65	64	1.1785026	123
46	45	1.17934	124
54	39	1.2030516	125
25	33	1.3089633	126
108	36	1.3157206	127
103	87	1.3998291	128
100	98	1.5081905	129
59	51	1.5116733	130
5	2	1.5183524	131
55	40	1.5210065	132
89	77	1.5602959	133
28	17	1.5697063	134
91	56	1.5763754	135
48	35	1.5932055	136
111	13	1.5938165	137
7	6	1.6481352	138
70	66	1.6824868	139
67	52	1.7234558	140
124	12	1.7685616	141
16	4	1.7732835	142
86	135	1.7751524	143
53	126	1.8227382	144
109	26	1.8409579	145
34	21	1.8704499	146
50	127	1.8965604	147
133	115	1.9265453	148
76	15	1.9273056	149
113	80	1.9298142	150
122	30	1.9455469	151
3	1	2.0596094	152
117	58	2.0879722	153
102	107	2.1279335	154
32	29	2.2721398	155
128	106	2.2896795	156
131	114	2.3092139	157
139	99	2.3105092	158
143	60	2.352248	159
138	11	2.3835807	160
134	23	2.4837573	161
105	154	2.4976695	162
144	74	2.5482905	163
118	88	2.5741541	164
44	42	2.5928621	165
136	9	2.6384883	166
112	68	2.66318	167
150	116	2.8237262	168
141	43	2.8616307	169
137	130	2.8800926	170
125	69	2.943015	171
140	132	3.2375774	172
147	10	3.3166423	173
151	165	3.3523965	174
146	152	3.367168	175
145	63	3.4614484	176
167	121	3.5211995	177
164	110	3.6211586	178
24	163	3.8356652	179
120	123	3.913468	180
162	159	4.0851254	181
171	90	4.124381	182
166	155	4.1582284	183
119	172	4.215553	184
180	158	4.2982326	185
142	179	4.4616	186
170	149	4.466716	187
169	153	4.5746803	188
157	175	4.6293206	189
176	61	5.139256	190
184	174	5.4873214	191
183	47	5.7349386	192
188	81	5.9567943	193
129	101	6.014803	194
186	8	6.026291	195
161	173	6.176883	196
156	168	6.496898	197
185	148	6.518309	198
182	177	6.535553	199
181	190	6.5512066	200
193	160	6.6087317	201
199	187	6.9045205	202
197	178	7.7717967	203
194	198	8.466934	204
191	202	9.282559	205
196	195	9.436657	206
200	192	9.636781	207
189	206	10.210698	208
203	201	11.726685	209
207	205	12.211453	210
208	204	12.348416	211
209	211	15.735645	212
212	210	17.836895	213
