92	83	0.40256068
40	13	0.47620627
91	70	0.52409214
21	36	0.6935882
61	72	0.7451943
81	77	0.7638876
26	18	0.83991826
93	74	0.8550436
84	94	0.891767
56	48	0.9763845
103	78	0.98247695
96	95	1.0050665
19	17	1.0488858
71	82	1.0677965
30	37	1.1783254
64	63	1.1785026
45	44	1.17934
53	38	1.2030516
24	32	1.3089633
92	35	1.3157206
102	86	1.3998291
99	97	1.5081905
58	50	1.5116733
4	1	1.5183524
54	39	1.5210065
88	76	1.5602959
27	16	1.5697063
90	55	1.5763754
47	34	1.5932055
21	12	1.5938165
6	5	1.6481352
69	65	1.6824868
66	51	1.7234558
45	11	1.7685616
15	3	1.7732835
85	90	1.7751524
52	24	1.8227382
40	25	1.8409579
33	20	1.8704499
49	92	1.8965604
88	93	1.9265453
75	14	1.9273056
81	79	1.9298142
30	29	1.9455469
2	0	2.0596094
56	57	2.0879722
101	106	2.1279335
31	28	2.2721398
102	105	2.2896795
4	26	2.3092139
69	98	2.3105092
85	59	2.352248
6	10	2.3835807
27	22	2.4837573
104	101	2.4976695
52	73	2.5482905
103	87	2.5741541
43	41	2.5928621
47	8	2.6384883
61	67	2.66318
81	84	2.8237262
45	42	2.8616307
21	58	2.8800926
53	68	2.943015
66	54	3.2375774
49	9	3.3166423
30	43	3.3523965
33	2	3.367168
40	62	3.4614484
61	71	3.5211995
103	91	3.6211586
23	52	3.8356652
19	64	3.913468
104	85	4.0851254
53	89	4.124381
47	31	4.1582284
96	66	4.215553
19	69	4.2982326
15	23	4.4616
21	75	4.466716
45	56	4.5746803
4	33	4.6293206
40	60	5.139256
96	30	5.4873214
47	46	5.7349386
45	80	5.9567943
99	100	6.014803
15	7	6.026291
27	49	6.176883
102	81	6.496898
19	88	6.518309
53	61	6.535553
104	40	6.5512066
45	6	6.6087317
53	21	6.9045205
102	103	7.7717967
99	19	8.466934
96	53	9.282559
27	15	9.436657
104	47	9.636781
4	27	10.210698
102	45	11.726685
104	96	12.211453
4	99	12.348416
102	4	15.735645
102	104	17.836895
