Snapshot, Tunnel cluster, Tunnel, Throughput, Cost, Bottleneck radius, Bottleneck R error bound, Length, Curvature
frame_2.pdb, 1, 1, 0.34155543067224153, 1.0742452978509252, 0.9569458492437908, -, 14.174124266014061, 1.1497032510815022
frame_4.pdb, 1, 1, 0.4083011579048954, 0.8957502447436667, 0.9434103000463561, -, 14.172029045778062, 1.7542126599157801
