#distance disc min UB energy, max UB energy, radius, LB energy
0.0 0 -3.1 -3.1 3.2 -3.3
0.27012030325 1 -3.1 -3.1 3.2 -3.1
0.540250121288 2 -3.3 -3.3 3.2 -3.4
0.780355116596 3 -3.2 -3.2 3.2 -3.3
0.900378620475 4 -3.2 -3.2 3.2 -3.3
1.04434180649 5 -3.2 -3.2 3.2 -3.2
1.16100418507 6 -3.2 -3.2 3.2 -3.2
1.39479825946 7 -3.1 -3.1 3.1 -3.2
1.63493462588 8 -3.0 -3.0 3.1 -3.1
1.78495335511 9 -2.9 -2.9 3.0 -3.1
1.91992201684 10 -2.9 -2.9 3.0 -3.0
2.05206589184 11 -2.9 -2.9 3.0 -3.0
2.17306557759 12 -2.9 -2.9 2.9 -2.9
2.35241894798 13 -2.8 -2.8 2.9 -3.0
2.59255904775 14 -2.8 -2.8 2.8 -3.0
2.80265792901 15 -2.5 -2.5 2.7 -3.0
2.94397858618 16 -2.5 -2.5 2.7 -2.9
3.08218962667 17 -2.4 -2.4 2.7 -2.8
3.22300064301 18 -2.4 -2.3 2.8 -3.0
3.36454266805 19 -3.0 -2.3 2.8 -3.0
3.60480433549 20 -2.7 -2.7 2.7 -2.8
3.75476233385 21 -2.9 -2.9 2.8 -2.9
3.89822913055 22 -2.9 -2.9 2.8 -2.9
4.04125398544 23 -2.8 -2.8 2.8 -2.8
4.18369806278 24 -2.8 -2.8 2.8 -2.8
4.33143756705 25 -2.8 -2.8 2.7 -2.8
4.47957137825 26 -2.7 -2.7 2.7 -2.7
4.59959375941 27 -2.8 -2.8 2.7 -2.8
4.72989982439 28 -2.7 -2.7 2.7 -2.8
4.85699840627 29 -2.6 -2.6 2.6 -2.7
4.9859896713 30 -2.6 -2.6 2.6 -2.7
5.11413568408 31 -2.6 -2.6 2.5 -2.8
5.24430599943 32 -2.7 -2.7 2.4 -2.8
5.45456554421 33 -2.7 -2.7 2.4 -2.7
5.48456552703 34 -2.6 -2.6 2.4 -2.8
5.62390747109 35 -2.6 -2.6 2.3 -2.8
5.75816979253 36 -2.6 -2.6 2.3 -2.8
5.89681217109 37 -2.6 -2.6 2.2 -2.8
6.13696831422 38 -2.5 -2.5 2.1 -2.8
6.28694002689 39 -2.5 -2.5 2.2 -2.8
6.42882465853 40 -2.5 -2.5 2.2 -2.8
6.57257652637 41 -2.5 -2.5 2.2 -2.8
6.68588522899 42 -2.5 -2.5 2.2 -2.8
6.87125406566 43 -2.5 -2.5 2.2 -2.8
7.11155001627 44 -2.7 -2.7 2.2 -2.8
7.17155590213 45 -2.7 -2.7 2.2 -2.8
7.31313053646 46 -2.8 -2.8 2.2 -2.9
7.44327297776 47 -2.8 -2.8 2.2 -2.8
7.68329272273 48 -2.7 -2.7 2.2 -2.8
7.92342670317 49 -2.7 -2.7 2.3 -2.8
8.07352286052 50 -2.6 -2.6 2.4 -2.8
8.18402295621 51 -2.6 -2.6 2.4 -2.9
8.36470789965 52 -2.6 -2.6 2.4 -2.9
8.60503412517 53 -2.7 -2.6 2.5 -2.9
8.84535680853 54 -2.8 -2.8 2.5 -2.9
8.99547569788 55 -2.8 -2.8 2.5 -2.8
9.11313247711 56 -2.7 -2.7 2.5 -2.9
9.29250832835 57 -2.8 -2.8 2.5 -2.9
9.53250976932 58 -2.7 -2.7 2.6 -2.9
9.77247960317 59 -2.7 -2.7 2.7 -3.0
9.95246810125 60 -2.7 -2.7 2.7 -3.0
10.0858241712 61 -2.7 -2.7 2.7 -3.0
10.3258668745 62 -2.7 -2.7 2.7 -3.0
10.5959541721 63 -2.7 -2.6 2.7 -2.9
10.8060204376 65 -2.7 -2.7 2.7 -2.9
